Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
13-02-2019,22-01-2020,Continuance of nuisance after injunction to discontinue,Veerasamy Siwagnanam,Madras,Section 291,4,343,9,
01-09-2018,27-11-2018,Transportation instead of imprisonment,S. Muralidhar (CJ),Orissa,Section 59,4,87,10,
02-11-2019,05-11-2020,"Abetment of desertion of soldier, sailor or airman",Syed Aftab Husain Rizvi,Allahabad,Section 135,3,369,17,
25-11-2017,06-01-2019,Penalty for harbouring robbers or dacoits,Sangam Kumar Sahoo,Orissa,Section 216A,1,407,6,
27-01-2020,04-04-2020,Refusing to answer public servant authorised to question,Debabrata Dash,Orissa,Section 179,2,68,10,
15-05-2018,07-11-2018,Illegal payments in connection with an election,Vikas Kunvar Srivastava,Allahabad,Section 171H,1,176,8,
21-02-2020,10-01-2021,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",Hamarsan Singh Thangkhiew,Meghalaya,Section 87,2,324,7,
28-03-2019,01-04-2020,Disturbing religious assembly,Siddaiah Rachaiah,Karnataka,Section 296,4,370,11,
20-07-2018,17-04-2019,Punishment for lurking house-trespass or house-breaking,Manthoj Ganga Rao,Andhra Pradesh,Section 453,4,271,10,
15-12-2018,11-12-2019,Forgery for purpose of cheating,Arvind Singh Chandel,Chhattisgarh,Section 468,4,361,14,
19-08-2017,12-01-2018,Import or export of counterfeits of the India coin,Satish Chandra Sharma (CJ),Telangana,Section 238,4,146,3,
20-01-2018,27-03-2019,Kidnapping,Sanjeev Narula,Delhi,Section 359,3,431,7,
11-11-2018,14-01-2019,"Theft in dwelling house, etc",Kannammal Shanmuga Sundaram,Madras,Section 380,4,64,8,
02-09-2017,25-08-2018,House-trespass in order to commit offence punishable with death,Anu Malhotra,Delhi,Section 449,1,357,5,
04-02-2018,28-09-2018,False statement in connection with an election,Vipin Chandra Dixit,Allahabad,Section 171G,3,236,6,
16-02-2020,05-06-2020,Public servant unlawfully buying or bidding for property,Somarajan P.,Kerala,Section 169,5,110,20,
05-11-2018,19-08-2019,"Collecting arms, etc, with intention of waging war against the Government of India",Ashwani Kumar Singh,Patna,Section 122,2,287,6,
06-10-2019,19-02-2020,"Forgery of valuable security, will, etc",Abdullah Gulamahmed Uraizee,Gujarat,Section 467,4,136,6,
18-05-2019,17-12-2019,Voluntarily causing hurt by dangerous weapons or means,Shrikant Dattatray Kulkarni,Bombay,Section 324,3,213,10,
09-07-2018,25-07-2019,Making or possessing instruments or materials for forgoing or counterfeiting currency-notes or bank-notes,Sujoy Paul,Madhya Pradesh,Section 489D,3,381,10,
22-03-2017,22-11-2017,Using as genuine a forged document or electronic record,R. Tharani,Madras,Section 471,3,245,4,
23-01-2018,07-08-2018,"Assaulting President, Governor, etc, with intent to compel or restrain the exercise of any lawful power",Sunita Yadav,Madhya Pradesh,Section 124,1,196,3,
29-12-2019,08-04-2020,"Right of private defence against the act of a person of unsound mind, etc",Rao Raghunandan Rao,Andhra Pradesh,Section 98,1,101,14,
06-02-2018,17-11-2018,Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof,Gautam Kumar Choudhary,Jharkhand,Section 243,5,284,3,
06-05-2019,23-05-2020,Wrongful confinement for three or more days,Sanjay Kumar Medhi,Gauhati,Section 343,3,383,8,
03-03-2020,13-07-2021,"Act caused by inducing person to believe that he will be rendered an object of the Divine
displeasure",Anil Kolavampara Narendran,Kerala,Section 508,1,497,11,
24-06-2017,13-01-2018,Mischief by causing inundation or obstruction to public drainage attended with damage,Sant Parkash,Punjab and Haryana,Section 432,1,203,2,
08-08-2018,08-11-2018,Kidnapping,Vishal Mishra,Madhya Pradesh,Section 359,3,92,8,
22-07-2019,18-10-2019,Robbery,Abdul Rahim Musaliar Badharudeen,Kerala,Section 390,2,88,9,
20-03-2017,08-01-2018,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,Veerasamy Siwagnanam,Madras,Section 493,2,294,3,
30-12-2017,04-10-2018,Making or possessing instruments or materials for forgoing or counterfeiting currency-notes or bank-notes,Fateh Deep Singh,Punjab and Haryana,Section 489D,5,278,8,
05-03-2020,24-01-2021,Consent known to be given under fear or misconception,Sanjay Kumar Medhi,Gauhati,Section 90,4,325,11,
23-01-2017,28-05-2017,Forged document or electronic record,Chagari Praveen Kumar,Andhra Pradesh,Section 470,4,125,1,
30-08-2019,11-11-2019,Thug,Mukulika Shrikant Jawalkar,Bombay,Section 310,4,73,8,
31-01-2017,15-12-2017,Procreation of minor girl,Subhasis Talapatra,Tripura,Section 366A,4,318,3,
03-01-2018,11-11-2018,Persons subject to certain Acts,Chagari Praveen Kumar,Andhra Pradesh,Section 139,4,312,9,
06-01-2019,05-01-2020,Failure by person released on bail or bond to appear in Court,Anjuli Palo,Madhya Pradesh,Section 229A,1,364,11,
26-12-2018,01-01-2020,Wrongful confinement for ten or more days,Bibhas Ranjan De,Calcutta,Section 344,5,371,18,
11-09-2019,12-06-2020,Penalty for harbouring robbers or dacoits,Surya Prakash Kesarwani,Allahabad,Section 216A,4,275,22,
02-06-2018,10-11-2018,Mischief,Chillakur Sumalatha,Telangana,Section 425,1,161,5,
12-01-2020,04-05-2020,"Act likely to cause harm, but done without criminal intent, and to prevent other harm",Shrikant Dattatray Kulkarni,Bombay,Section 81,1,113,11,
16-11-2019,05-12-2020,Robbery,Subhash Chandra Sharma,Allahabad,Section 390,3,385,13,
09-08-2019,13-10-2019,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,Suresh Kumar Kait,Delhi,Section 437,2,65,6,
04-09-2019,10-06-2020,"Public servant in judicial proceeding corruptly making report, etc, contrary to law",Michael Zothankhuma,Gauhati,Section 219,1,280,10,
16-12-2017,04-08-2018,Dishonestly breaking open receptacle containing property,Lalit Batra,Punjab and Haryana,Section 461,5,231,7,
15-08-2017,27-09-2017,Intentional omission to give information of offence by person bound to inform,Venkateswarlu Nimmagadda,Andhra Pradesh,Section 202,4,43,1,
07-08-2019,24-03-2020,Concealing design to commit offence punishable with imprisonment,Dr. Anita Sumanth,Madras,Section 120,2,230,8,
11-11-2018,11-05-2019,Coin defined,Arun Kumar Sharma,Madhya Pradesh,Section 230,2,181,4,
03-06-2017,26-09-2018,Possession of coin by person who knew it to be altered when he became possessed thereof,M. Sundar,Madras,Section 252,4,480,9,
27-06-2019,22-09-2020,Punishment for false evidence,Sanjay Kumar Agrawal,Chhattisgarh,Section 193,1,453,13,
24-01-2018,16-02-2019,Sentence of forfeiture of property,Savitri Ratho,Orissa,Section 61,1,388,4,
29-06-2017,22-01-2018,Waging war against any Asiatic Power in alliance with the Government of India,Rajiv Gupta,Allahabad,Section 125,2,207,3,
26-02-2017,29-11-2017,Punishment for criminal breach of trust,Arun Dev Choudhury,Gauhati,Section 406,2,276,3,
26-08-2019,08-10-2019,Dowery death,Conrad Stansilaus Dias,Kerala,Section 304B,5,43,12,
04-02-2020,09-03-2021,Offering gift or restoration of property in consideration of screening offender,Devendra Kumar Upadhyay,Allahabad,Section 214,3,399,20,
14-02-2018,14-04-2018,Resistance or obstruction to lawful apprehension of another person,Rajnish Bhatnagar,Delhi,Section 225,4,59,3,
23-03-2018,25-03-2019,False personation for purpose of act or proceeding in suit or prosecution,Deepak Verma,Allahabad,Section 205,5,367,12,
27-07-2017,16-10-2018,"Kidnapping, abducting or inducing woman to compel her marriage, etc",Atul Sharachchandra Chandurkar,Bombay,Section 366,5,446,10,
05-06-2018,09-09-2018,Danger or obstruction in public way or line of navigation,Suresh Kumar Kait,Delhi,Section 283,4,96,3,
30-01-2019,12-10-2019,Sale of printed or engraved substance containing defamatory matter,Dinesh Mehta,Rajasthan,Section 502,2,255,14,
25-07-2019,27-01-2020,Punishment for the mischief described in section 437 committed by fire or explosive substance,Ajay Mohan Goel,Himachal Pradesh,Section 438,3,186,11,
08-05-2018,06-01-2019,Punishment for criminal breach of trust,Vikas Kunvar Srivastava,Allahabad,Section 406,4,243,10,
23-08-2019,20-01-2020,"Buying minor for purposes of prostitution, etc",M. Duraiswamy,Madras,Section 373,1,150,6,
23-04-2017,16-07-2018,Dacoity,Shekhar Kumar Yadav,Allahabad,Section 391,5,449,3,
07-05-2018,08-05-2019,"Wrongful confinement to extort property, or constrain to illegal act",Gita Gopi,Gujarat,Section 347,2,366,7,
08-11-2019,04-11-2020,Punishment for rape,Pulleri Vadhyarillath Kunhikrishnan,Kerala,Section 376,3,362,12,
24-07-2017,03-01-2018,Grievous hurt,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 320,1,163,4,
27-12-2018,29-05-2019,"Punishment for knowingly carrying arms in any procession or organising, or holding or taking part in any mass drill or mass training with arms",Devendra Kumar Upadhyay,Allahabad,Section153AA,1,153,13,
04-01-2017,23-06-2017,Person employed in mint causing coin to be of different weight or composition from that fixed by law,Samir Jyotindraprasad Dave,Gujarat,Section 244,2,170,1,
03-03-2018,19-11-2018,Owner or occupier of land on which an unlawful assembly is held,Songkhupchung Serto,Gauhati,Section 154,2,261,5,
05-06-2017,28-07-2017,Forgery,Harinder Singh Sindhu,Punjab and Haryana,Section463,1,53,2,
13-02-2019,24-11-2019,Act done in good faith for benefit of a person without consent,Manish Mathur,Allahabad,Section 92,2,284,5,
24-01-2018,20-09-2018,Importation of girl from foreign country,Prakash Shrivastava (CJ),Calcutta,Section 366B,1,239,4,
27-06-2019,13-01-2020,"Aiding escape of, rescuing or harbouring such prisoner",Raj Mohan Singh,Punjab and Haryana,Section 130,1,200,11,
28-04-2017,22-08-2018,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",Songkhupchung Serto,Gauhati,Section 241,3,481,3,
12-04-2018,22-04-2019,Making or selling instrument for counterfeiting Government stamp,Nataraj Rangaswamy,Karnataka,Section 257,3,375,6,
27-05-2017,17-08-2017,Abetment of offence punishable with imprisonment-if offence be not committed,Ashutosh Jayantilal Shastri,Gujarat,Section 116,4,82,2,
14-06-2017,20-03-2018,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Milind Narendra Jadhav,Bombay,Section 327,2,279,5,
14-06-2019,16-10-2020,"Buying minor for purposes of prostitution, etc",Shivkumar Ganpatrao Dige,Bombay,Section 373,3,490,12,
09-08-2018,13-11-2019,"Causing disappearance of evidence of offence, or giving false information to screen offender",Suraj Govindaraj,Karnataka,Section 201,4,461,7,
04-12-2019,08-08-2020,Abetting commission of offence by the public or by more than ten persons,V. Narasingh,Orissa,Section 117,4,248,12,
21-06-2018,02-06-2019,"Wrongful confinement to extort property, or constrain to illegal act",Surya Prakash Kesarwani,Allahabad,Section 347,5,346,13,
08-05-2017,06-07-2017,Abettor when liable to cumulative punishment for act abetted and for act done,Lanusungkum Jamir,Manipur,Section 112,4,59,1,
05-05-2017,01-08-2018,Using evidence known to be false,Pondicherry Daivasigamani Audikesavalu,Madras,Section 196,5,453,5,
12-06-2018,19-07-2019,Punishment of abetment if person abetted does act with different intention from that of abettor,Vipin Chandra Dixit,Allahabad,Section 110,1,402,12,
17-09-2017,03-01-2018,Sedition,Rajendra Meghraj Sareen,Gujarat,Section 124A,1,108,2,
29-12-2017,15-12-2018,Lurking house-trespass by night,Murahari Sri Raman,Orissa,Section 444,3,351,3,
03-07-2018,26-08-2019,Punishment,Kesang Doma Bhutia,Calcutta,Section 311,4,419,7,
04-01-2019,27-05-2019,Liability of agent of owner of occupier for whose benefit riot is committed,Shekhar Kumar Yadav,Allahabad,Section 156,3,143,7,
31-08-2019,16-06-2020,Deserter concealed on board merchant vessel through negligence of master,Arun Kumar Sharma,Madhya Pradesh,Section 137,5,290,13,
21-10-2017,17-05-2018,Lurking house-trespass,Jyoti Singh,Delhi,Section 443,2,208,4,
20-04-2017,10-07-2017,Punishment for murder,Michael Zothankhuma,Gauhati,Section 302,5,81,1,
19-05-2019,04-10-2019,Punishment for bribery,Avachat Rajendra Govind,Bombay,Section 171E,1,138,12,
25-06-2019,23-07-2019,Making or selling false weight or measure,Sheel Nagu,Madhya Pradesh,Section 267,2,28,7,
01-11-2017,07-01-2018,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft",Pankaj Bhandari,Rajasthan,Section 382,1,67,2,
10-08-2019,12-12-2020,Coin defined,M. Duraiswamy,Madras,Section 230,1,490,14,
19-04-2018,22-01-2019,Abetment of suicide,Deepak Kumar Tiwari,Chhattisgarh,Section 306,2,278,6,
15-11-2018,18-11-2019,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,Saumitra Dayal Singh,Allahabad,Section 418,2,368,11,
09-06-2019,27-01-2020,Punishment for wrongful Confinement,Anu Sivaraman,Kerala,Section 342,1,232,13,
08-02-2018,22-12-2018,Having possession of instrument or material for counterfeiting Government stamp,Talwant Singh,Delhi,Section 256,1,317,5,
03-12-2019,12-12-2020,Using Government stamp known to have been before used,Sharad Kumar Sharma,Uttarakhand,Section 262,4,375,12,
03-08-2018,16-12-2018,Obscene acts and songs,Ratnaker Bhengra,Jharkhand,Section 294,2,135,11,
04-04-2017,25-02-2018,Making a false mark upon any receptacle containing goods,Ravi Cheemalapati,Andhra Pradesh,Section 487,4,327,6,
28-01-2018,28-05-2019,Omission to give notice or information to public servant by person legally bound to give it,Ajit Singh,Allahabad,Section 176,4,485,6,
02-07-2019,09-10-2019,Kidnapping from lawful guardianship,Somarajan P.,Kerala,Section 361,2,99,15,
03-11-2019,13-08-2020,Punishment for assault or criminal force otherwise than on grave provocation,Ramakrishna Devdas,Karnataka,Section 352,3,284,19,
29-12-2018,22-05-2019,Unlawfully taking coining instrument from mint,Anjuli Palo,Madhya Pradesh,Section 245,2,144,10,
12-06-2019,29-10-2019,Counterfeiting Indian coin,Dr Yogendra Kumar Srivastava,Allahabad,Section 232,3,139,14,
06-03-2018,05-07-2019,Dishonest misappropriation of property,R. Vijayakumar,Madras,Section 403,1,486,5,
20-11-2019,22-02-2020,Kidnapping from lawful guardianship,Vijay Bishnoi,Rajasthan,Section 361,3,94,10,
18-04-2017,25-10-2017,Kidnapping or abducting child under ten years with intent to steal from its person,Virendrasingh Gyansingh Bisht,Bombay,Section 369,3,190,1,
24-12-2017,11-04-2019,Act done pursuant to the judgment or order of Court,Vinay Manohar Deshpande,Bombay,Section 78,1,473,8,
07-05-2019,17-04-2020,Falsification of accounts,Biswanath Rath,Orissa,Section 477A,4,346,14,
23-01-2020,18-06-2020,Mischief by killing or maiming animal of the value of ten rupees,Subhasis Talapatra,Tripura,Section 428,1,147,14,
29-04-2018,09-08-2018,"Sale, etc, of obscene objects to young person",Manoj Kumar Vyas,Rajasthan,Section 293,1,102,6,
08-11-2018,10-01-2019,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc",Chandrasekharan Kartha Jayachandran,Kerala,Section 388,4,63,6,
15-02-2020,18-06-2020,Having possession of counterfeit Government stamp,Salil Kumar Rai,Allahabad,Section 259,4,124,10,
07-02-2020,15-04-2021,"Having possession of document described in Section 466 or 467, knowing it to be forged and intending to use it as genuine",Ravi Malimath (CJ),Madhya Pradesh,Section 474,4,433,5,
16-02-2020,24-09-2020,Counterfeiting a mark used by a public servant,Govindarajulu Chandrasekharan,Madras,Section 484,1,221,10,
27-03-2019,29-05-2019,Marrying again during lifetime of husband or wife,Sanjay Ganpatrao Mehare,Bombay,Section 494,5,63,11,
23-05-2017,03-10-2017,Death caused by act done with intent to cause miscarriage-,Rajeev Misra,Allahabad,Section 314,2,133,1,
21-03-2019,28-06-2019,Dishonestly making false claim in Court,Vibha Vasant Kankanwadi,Bombay,Section 209,5,99,10,
10-06-2019,30-08-2019,Grievous hurt caused whilst committing lurking house trespass or house-breaking,Bibhas Ranjan De,Calcutta,Section 459,5,81,13,
30-04-2017,30-05-2018,"Sale, etc, of obscene objects to young person",Bibhas Ranjan De,Calcutta,Section 293,5,395,4,
30-11-2017,18-01-2018,Accident in doing a lawful act,Subramonium Prasad,Delhi,Section 80,5,49,2,
09-02-2019,21-09-2019,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",Chagari Praveen Kumar,Andhra Pradesh,Section 87,1,224,17,
14-02-2019,08-09-2019,Making or selling false weight or measure,Gurijala Radha Rani,Telangana,Section 267,3,206,11,
14-03-2018,19-01-2019,Disobedience to quarantine rule,Ravindra Vithalrao Ghuge,Bombay,Section 271,4,311,4,
11-11-2018,13-09-2019,Abettor,Surya Prakash Kesarwani,Allahabad,Section 108,3,306,18,
16-09-2019,14-11-2019,Mischief causing damage to the amount of fifty rupees,Ravi Shanker Jha (CJ),Punjab and Haryana,Section 427,2,59,12,
